object_id,ebike,traditional,Female,Male,classic,hybrid,race,helmet,torso_angle,arm_angle
GH020522_10517,1,0,0,1,1,0,0,0,2.726347,56.21889
GH020522_10992,0,1,0,1,1,0,0,0,23.727793,45.726128
GH020522_14423,0,1,0,1,1,0,0,1,14.502086,45.639008
GH020522_15084,0,1,0,1,1,0,0,1,41.428005,24.48216
GH020522_15726,1,0,0,1,1,0,0,1,10.6131115,50.373665
GH020522_15853,1,0,0,1,1,0,0,0,7.6534247,56.18448
GH020522_16040,0,1,0,1,1,0,0,0,6.6612654,45.617786
GH020522_16551,0,1,0,1,1,0,0,0,17.497038,69.39967
GH020522_4101,0,1,0,1,1,0,0,0,4.927241,40.198853
GH020522_4294,0,1,0,1,1,0,0,0,21.665508,38.14927
GH020522_5398,0,1,0,1,1,0,0,1,25.945139,46.711666
GH020522_7650,1,0,0,1,1,0,0,1,23.232056,49.658833
GH020522_9726,0,1,0,1,1,0,0,0,17.821095,39.264084
GH020528_116,0,1,0,1,1,0,0,1,14.116704,44.08669
GH020528_12760,1,0,0,1,1,0,0,0,10.075735,34.68742
GH020528_1369,0,1,0,1,1,0,0,0,21.491394,40.050938
GH020528_14999,1,0,0,1,1,0,0,0,7.1522017,78.86396
GH020528_1572,0,1,0,1,1,0,0,0,7.6704583,43.862267
GH020528_74,0,1,0,1,1,0,0,1,26.93356,33.194443
GH020528_8689,0,1,0,1,1,0,0,1,18.880499,31.994558
GH020529_1072,0,1,0,1,1,0,0,0,44.541996,28.038095
GH020531_2266,0,1,0,1,1,0,0,1,9.894336,53.997032
GH030528_3895,0,1,0,1,1,0,0,1,19.312874,40.93573
GH030528_4762,1,0,0,1,1,0,0,1,0.68328273,41.59745
GH030528_5288,0,1,0,1,1,0,0,0,10.257872,47.75662
GH010527_11112,1,0,1,0,1,0,0,1,17.77419,49.90006
GH010528_14055,0,1,1,0,1,0,0,0,3.0320253,75.96832
GH010528_17084,0,1,1,0,1,0,0,0,24.968267,9.764404
GH010528_17125,1,0,1,0,1,0,0,1,7.4314947,51.13935
GH010528_5541,0,1,1,0,1,0,0,0,23.816849,53.041164
GH010529_14996,1,0,1,0,1,0,0,1,18.102964,52.22497
GH010529_15728,0,1,1,0,1,0,0,1,17.340185,49.74155
GH010529_2393,0,1,1,0,1,0,0,1,0.3631561,60.56468
GH010529_2434,1,0,1,0,1,0,0,1,16.976429,47.62935
GH010529_2504,1,0,1,0,1,0,0,1,10.874024,74.65917
GH010529_2734,1,0,1,0,1,0,0,0,16.454037,51.046684
GH010529_5218,1,0,1,0,1,0,0,0,16.635748,34.011765
GH010529_6195,0,1,1,0,1,0,0,0,22.610352,55.53153
GH010531_10238,0,1,1,0,1,0,0,1,24.49691,37.796497
GH010531_11547,0,1,1,0,1,0,0,0,15.554605,50.152225
GH010531_11694,0,1,1,0,1,0,0,1,21.482786,29.811436
GH010531_11744,1,0,1,0,1,0,0,1,17.001745,42.848106
GH010531_12940,1,0,1,0,1,0,0,1,8.472409,53.582424
GH010531_13116,1,0,1,0,1,0,0,1,9.339677,49.383385
GH010531_14516,1,0,1,0,1,0,0,1,0.4618246,53.3998
GH010531_14814,1,0,1,0,1,0,0,1,19.894579,40.42257
